MB,MB,BUS STOP ACCESSIBILITY,BUS STOP ACCESSIBILITY,EXT,41006,,2015,2015,10,,1,Each,"$26,000.00 ",0,"$26,000.00 ",2015,Bus Stop Shelter,,,,,,,,,BG007076,,,"1990 Cost-$26,000 - BUS STOP ACCESSIBILITY - CURB CUTS IN VARIOUS BUS STOPS I N MARIN",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,DOOSAN FORKLIFT,DOOSAN FORKLIFT,EXT,53003,,2015,2015,10,,1,Vehicle,"$25,729.33 ",0,"$25,729.33 ",2015,LFT Shop Area,,,,,,,,,F0001548,,,LFT Shop Area,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
SY,SY,ACCESS SYSTEM KEYWAY SYSTEM,ACCESS SYSTEM KEYWAY SYSTEM,EXT,33300,,2015,2015,15,,1,Each,"$25,540.10 ",0,"$25,540.10 ",2015,,,,,,,,,,FA00030,,,Adm Bldg Lobby/Recept Area,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,GREENBRAE BOARDWALK,LARKSPUR FERRY TERMINAL,EXT,43000,,2015,2015,25,,1,Each,"$25,000.00 ",0,"$25,000.00 ",2015,,,,,,,,,,F0000392,,,PURCHASED YACHTCLUBS INTEREST IN LARKSPUR PROPERTY,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
SY,SY,SERVER,SERVER,RET,39103,,2015,2015,5,,4,Each,"$6,225.81 ",0,"$24,903.24 ",2015,,,,,,,,,,A0003514-17,,,"2004 Cost-$6,225.81 - IS Computer Room",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
SY,SY,AVTEC REDUNDANT RADIO CONSOLE,,EXT,33300,,2015,2015,5,,1,Each,"$24,882.00 ",0,"$24,882.00 ",2015,,,,,,,,,,A0003648,,,1/31/16 - CIP 1-0502 ACIS.,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,BUS STOP SIGNS,BUS STOP SIGNS,EXT,41901,,2015,2015,10,,1,Each,"$24,775.00 ",0,"$24,775.00 ",2015,Bus Stop Shelter,,,,,,,,,BG00078301,,,"1992 Cost-$24,775 - Bus Stop Shelter",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,LARKSPUR FUEL TANK REPL,LARKSPUR FUEL TANK REPL,EXT,23411,,2015,2015,30,,1,Each,"$24,736.82 ",0,"$24,736.82 ",2015,LFT Outside Areas,,,,,,,,,FG00047204,,,"2001 Cost-$24,736.82 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,SANTA ROSA FUEL TANKS,SANTA ROSA FUEL TANKS,RET,23411,,2015,2015,10,,1,Each,"$24,699.25 ",0,"$24,699.25 ",2015,D3 Service Building,,,,,,,,,BG00533706,,,"2003 Cost-$24,699.25 - D3 Service Building Per IFAS Useful life = 1",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,ROUTING SWITCH (4507),ROUTING SWITCH (4507),RET,39300,,2015,2015,5,,1,Each,"$24,366.28 ",0,"$24,366.28 ",2015,IS Computer Room,,,,,,,,,A0003489,,,"2004 Cost-$24,366.28 - IS Computer Room",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SAN RAFAEL BUS YARD FENC,SAN RAFAEL BUS YARD FENC,RET,21514,,2015,2015,10,,1,Linear Feet,"$24,307.64 ",0,"$24,307.64 ",2015,D1 Yard,,,,,,,,,BG00532702,,,"1995 Cost-$24,307.64 - SAN RAFAEL BUS YARD FENCE AND IMPROVEMENT",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,SAN UPGRADE,SAN UPGRADE,RET,39109,,2015,2015,5,,1,Each,"$24,275.43 ",0,"$24,275.43 ",2015,IS Computer Room,,,,,,,,,FA0003601,,,IS Computer Room,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
SY,SY,LARGE FORMAT PRINTER,LARGE FORMAT PRINTER,EXT,23100,,2015,2015,5,,1,Each,"$24,006.40 ",0,"$24,006.40 ",2015,SR Dist Bldg Graphics Office,,,,,,,,,A0003621,,,SR Dist Bldg Graphics Office,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,BUS STOP SIGNS,BUS STOP SIGNS,RET,41901,,2015,2015,10,,1,Each,"$23,768.95 ",0,"$23,768.95 ",2015,Bus Stop Shelter,,,,,,,,,B0000220,,,"1975 Cost-$23,768.92 - Bus Stop Shelter",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,SF DOCK SAFETY PLATFORM,SF DOCK SAFETY PLATFORM,EXT,43024,,2015,2015,20,,1,Each,"$23,500.00 ",0,"$23,500.00 ",2015,SFFT,,,,,,,,,FG000554,,,"1988 Cost-$23,500 - SFFT",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,FORD E350 12 PASSENGER WAGON,FORD E350 12 PASSENGER WAGON,EXT,53002,,2015,2015,7,,1,Vehicles,"$23,328.93 ",0,"$23,328.93 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,F0001558,,,D1 Non-Revenue Vehicle,,,,,,,,,3,,,FALSE,,,FRD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
MB,MB,TRUCK PICKUP DODGE 2008,TRUCK PICKUP DODGE 2008,RET,53002,,2015,2015,10,,1,Vehicles,"$23,222.77 ",0,"$23,222.77 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,B0009306,,,Bus Division D1 Non-Revenue Vehicles,,,,,,,,,3,,,FALSE,,,DMC,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
MB,MB,SAN RAFAEL FUEL ISLAND,SAN RAFAEL FUEL ISLAND,EXT,23405,,2015,2015,10,,1,Each,"$23,196.60 ",0,"$23,196.60 ",2015,D1 Fuel Island,,,,,,,,,BG00532602,,,"2004 Cost-$23,196.60 - D1 Fuel Island",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,FORKLIFT 2004,FORKLIFT 2004,EXT,53003,,2015,2015,10,,1,Vehicle,"$23,161.24 ",0,"$23,161.24 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,BG004832,,,"2004 cost-$23,161.24 D1 Non-Revenue Vehicles",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
FB,FB,PARKER HOSE FITTINGS CRIMP,PARKER HOSE FITTINGS CRIMPER,EXT,23420,,2015,2015,10,,1,Each,"$23,016.92 ",0,"$23,016.92 ",2015,LFT Outside Areas,,,,,,,,,F0001545,,,Located at LFT Outside Areas,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,ADMIN BLDG ADA IMPROVEMENT,ADMIN BLDG ADA IMPROVEMENT,EXT,21509,,2015,2015,30,,1,Space,"$22,941.04 ",0,"$22,941.04 ",2015,,,,,,,,,,BR00000413,,,Adm Bldg Toll Plaza Complex,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,BUS STOP SIGNS,BUS STOP SIGNS,EXT,41901,,2015,2015,10,,1,Each,"$22,876.72 ",0,"$22,876.72 ",2015,Bus Stop Shelter,,,,,,,,,BG00078302,,,"1998 Cost-$22,876.72 - Bus Stop Shelter",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,RADAR INSTALLATION MS SONOMA,RADAR INSTALLATION MS SONOMA,EXT,38201,,2015,2015,10,,1,Each,"$22,867.52 ",0,"$22,867.52 ",2015,MS Sonoma,,,,,,,,,F0001433,,,MS Sonoma,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),15:38.2,,,,,,
MB,MB,LARGE PARTS WASHER,LARGE PARTS WASHER,EXT,23300,,2015,2015,15,,1,Each,"$22,787.68 ",0,"$22,787.68 ",2015,D1 Maint Shop Steam Room,,,,,,,,,B0009333,,,D1 Maint Shop Steam Room,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,FURUNO RADAR,FURUNO RADAR,EXT,37004,,2015,2015,5,,1,Each,"$22,452.80 ",0,"$22,452.80 ",2015,MS Marin,,,,,,,,,F0001551,,,MS Marin,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Ferryboat (FB),,,,,,,
MB,MB,2016 DODGE GRAND CARAVAN,VAN,EXT,53002,,2015,2015,7,,1,Vehicles,"$22,402.85 ",0,"$22,402.85 ",2015,,,,,,,,,,CIP-1619-06,,,Transit Supervisor Van. CIP 03-1619.,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
SY,SY,ADMIN BLDG ACCTG OFFICE,ADMIN BLDG ACCTG OFFICE,EXT,21100,,2015,2015,5,,1,Building,"$22,285.73 ",0,"$22,285.73 ",2015,Adm Bldg Acct Office,,,,,,,,,BR00000415,,,Adm Bldg Acct Office,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,2009 E350 Van,2009 E350 VAN,EXT,53002,,2015,2015,7,,1,Vehicles,"$22,180.53 ",0,"$22,180.53 ",2015,LFT Outside Areas,,,,,,,,,F0001537,,,LFT Outside Areas,,,,,,,,,3,,,FALSE,,,FRD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
MB,MB,SAN RAFAEL ADMIN ADA,SAN RAFAEL ADMIN ADA,EXT,21509,,2015,2015,20,,1,Space,"$21,725.05 ",0,"$21,725.05 ",2015,D1 Yard,,,,,,,,,B000020808,,,D1 Yard,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,2017 DODGE GRAND CARAVAN,VAN,EXT,53002,,2015,2015,7,,1,Vehicles,"$21,709.63 ",0,"$21,709.63 ",2015,,,,,,,,,,CIP-1729-03,,,2017 - White. Transit Supervisor Vehicle. CIP 02-1729.,,,,,,,,,,,,FALSE,,,,,HG,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
SY,SY,ROUTING SWITCH - CARDS,ROUTING SWITCH - CARDS,RET,39300,,2015,2015,5,,1,Each,"$21,705.71 ",0,"$21,705.71 ",2015,IS Computer Room,,,,,,,,,A000348901,,,"2007 Cost-$21,705.71 - IS Computer Room",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
SY,SY,SEDAN 2000 HONDA CIVIC,SEDAN 2000 HONDA CIVIC,RET,53001,,2015,2015,7,,1,Vehicles,"$21,218.71 ",0,"$21,218.71 ",2015,,,,,,,,,,A0003190,,,"2000 Cost-$21,218.71 Adm Bld Non-Rev Vehicles",,,,,,,,,3,,,FALSE,,,HMC,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,,
SY,SY,TRUCK PICKUP DODGE,TRUCK PICKUP DODGE,EXT,53002,,2015,2015,10,,1,Vehicles,"$21,158.28 ",0,"$21,158.28 ",2015,LFT Outside Areas,,,,,,,,,F0001471,,,"2001 Cost-$21,158.28 LFT Outside Areas",,,,,,,,,3,,,FALSE,,,DMC,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
SY,SY,EMERGENCY COMMAND CENTER,EMERGENCY COMMAND CENTER,EXT,33302,,2015,2015,10,,1,Each,"$20,828.21 ",0,"$20,828.21 ",2015,,,,,,,,,,FA00029,,,Adm Bldg Press Room,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,PHONE ANSWERING SYSTEM,PHONE ANSWERING SYSTEM,RET,33402,,2015,2015,10,,1,Each,"$20,760.00 ",0,"$20,760.00 ",2015,D1 Penthouse Equipment Room,,,,,,,,,BG00701101,,,"1989 Cost-$20,760 - D1 Penthouse Equipment Room",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,2006 FORD VAN,VAN,EXT,53002,,2015,2015,10,,1,Vehicles,"$20,735.04 ",0,"$20,735.04 ",2015,,,,,,,,,,BR001935,,,Sausalito Dock,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
FB,FB,GENIE SCISSOR LIFT,GENIE SCISSOR LIFT,EXT,53003,,2013,2013,15,,1,Vehicles,"$20,658.40 ",0,"$20,658.40 ",2015,LFT Shop Area,,,,,,,,,F0001876,,,LFT Shop Area,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,test,,,,,,,,FALSE,FALSE,Maintenance Facilities,16:23.3,,,,,,
SY,SY,SERVER,SERVER,RET,39103,,2015,2015,5,,2,Each,"$10,303.64 ",0,"$20,607.28 ",2015,,,,,,,,,,A0003568-9,,,IS Computer Room,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SANTA ROSA SVC BLDG PHONE SWIT,SANTA ROSA SVC BLDG PHONE SWIT,EXT,33400,,2015,2015,10,,1,Each,"$20,517.42 ",0,"$20,517.42 ",2015,D3 Service Building,,,,,,,,,BG00533402,,,"2004 Cost-20,517.42 -D3 Service Building",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
SY,SY,SOFTWARE - DATA PUBLISH,SOFTWARE - DATA PUBLISH,RET,39200,,2015,2015,5,,1,Each,"$20,444.72 ",0,"$20,444.72 ",2015,D1 Network Administrator,,,,,,,,,A0003459,,,"2003 Cost-$20,444.72 - D1 Network Administrator",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,TRUCK - DODGE RAM PICKUP,TRUCK - DODGE RAM PICKUP,EXT,53002,,2015,2015,10,,1,Vehicles,"$20,425.89 ",0,"$20,425.89 ",2015,LFT Outside Areas,,,,,,,,,F0001460,,,"2002 Cost-$20,425.89 LFT Outside Areas",,,,,,,,,3,,,FALSE,,,DMC,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
MB,MB,CAR VAN CHEVY 2008,VAN,RET,53002,,2015,2015,10,,1,Vehicles,"$20,394.25 ",0,"$20,394.25 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,B0009302,,,D1 Non-Revenue Vehicle,,,,,,,,,3,,,FALSE,,,CMD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
MB,MB,CAR VAN CHEVY 2008,VAN,RET,53002,,2015,2015,10,,1,Vehicles,"$20,394.25 ",0,"$20,394.25 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,B0009303,,,D1 Non-Revenue Vehicle,,,,,,,,,3,,,FALSE,,,CMD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
MB,MB,TRUCK 2009 CHEVROLET,TRUCK 2009 CHEVROLET,EXT,53002,,2015,2015,10,,1,Vehicles,"$20,392.44 ",0,"$20,392.44 ",2015,Adm Bldg Non-Rev Vehicles,,,,,,,,,A0003582,,,District Division Adm Bldg Non-Rev Vehicles,,,,,,,,,3,,,FALSE,,,CMD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
FB,FB,TELEPHONE SYS VOICE MAIL,TELEPHONE SYS VOICE MAIL,RET,33402,,2015,2015,10,,1,Each,"$20,267.90 ",0,"$20,267.90 ",2015,LFT Kiosk E Concessionaire,,,,,,,,,FG00074801,,,"2000 Cost-$20,267.90 - LFT Kiosk E Concessionaire",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,RADIO SYSTEM,RADIO SYSTEM,RET,33500,,2015,2015,10,,1,Each,"$20,230.65 ",0,"$20,230.65 ",2015,SR A&D Trailer Computer Rm,,,,,,,,,BG004877,,,"2006 Cost-$20,230.65 - SR A&D Trailer Computer Rm",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
SY,SY,FURNITURE CARPET PURCHASE TRLR,FURNITURE CARPET PURCHASE TRLR,EXT,23200,,2015,2015,10,,1,Each,"$20,229.56 ",0,"$20,229.56 ",2015,Bldg B - Procurement Trailer,,,,,,,,,A0003638,,,Bldg B-Procurement Trailer.,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SANTA ROSA SERVICE ROOF,SANTA ROSA SERVICE ROOF,EXT,21507,,2015,2015,15,,1,Sq Foot,"$20,164.23 ",0,"$20,164.23 ",2015,D3 Service Building,,,,,,,,,BG00533401,,,"1997 Roof cover-$20,164.23 - D3 Service Building",,,,,,,,,3,,3600,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,TRUCK PICKUP CHEV 2008,TRUCK PICKUP CHEV2008,EXT,53002,,2015,2015,10,,1,Vehicles,"$20,049.06 ",0,"$20,049.06 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,B0009301,,,Bus Division D1 Non-Revenue Vehicles,,,,,,,,,3,,,FALSE,,,CMD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
MB,MB,BLCKHWK MAXI TWER PULLING Post,BLCKHWK MAXI TWER PULLING POST,EXT,23420,,2015,2015,15,,1,Each,"$20,000.84 ",0,"$20,000.84 ",2015,D1 Body Shop Bus Repair,,,,,,,,,B0009342,,,D1 Body Shop Bus Repair,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FC,FC,MONEY TRANSPORT,MONEY TRANSPORT,RET,53003,,2015,2015,10,,3,Vehicles,"$6,666.00 ",0,"$19,998.00 ",2015,,,,,,,,,,BG004168-70,,,D2 Service Building/D1 Fuel Island All assets are already disposed,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
MB,MB,ENGINE DYNAMOMETER,ENGINE DYNAMOMETER,EXT,23406,,2015,2015,7,,1,Each,"$19,991.40 ",0,"$19,991.40 ",2015,Heavy Duty Maint. Bldg.,,,,,,,,,BG004872,,,"2003 Cost-$19,991.40 - Heavy Duty Maint. Bldg",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,SHAFT SEALS SPARE,SHAFT SEALS SPARE,EXT,38303,,1993,1993,7,,1,Lot,"$19,991.40 ",0,"$19,991.40 ",2015,MS Sonoma,,,,,,,,,FG000745,,,MS Sonoma,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),09:26.8,,,,,,
FB,FB,TRANSFER DISPENSER,TRANSFER DISPENSER,RET,35115,,2015,2015,10,,1,Each,"$19,991.40 ",0,"$19,991.40 ",2015,LFT Outside Areas,,,,,,,,,FG000760,,,"1994 Cost-$19,991.40 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,ADMIN BLDG GRANTS OFFICE,ADM BLDG GRANTS OFFICE,EXT,21100,,2015,2015,5,,1,Building,"$19,890.13 ",0,"$19,890.13 ",2015,Adm Bldg Payroll Office,,,,,,,,,BR00000416,,,Adm Bldg Payroll Office,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,DIDTELEPHONE EQUIPMENT,DIRECT INWARD DIALING TELEPHONE EQUIPMENT,RET,33500,,2015,2015,10,,1,Each,"$19,826.58 ",0,"$19,826.58 ",2015,SR A&D Trailer,,,,,,,,,B0009035,,,SR A&D Trailer,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,FORKLIFT TCM 1987,FORKLIFT TCM 1987,RET,53003,,2015,2015,10,,1,Vehicle,"$19,796.22 ",0,"$19,796.22 ",2015,,,,,,,,,,A0002081,,,Adm Bldg Non-Rev Vehicles,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,,
FB,FB,3x5 FENDER & SECURING LINE,3X5 FENDER & SECURING LINE,EXT,38100,,2015,2015,10,,1,Each,"$19,741.50 ",0,"$19,741.50 ",2015,LFT Outside Areas,,,,,,,,,F0001877,,,LFT Outside Areas,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,NETWORK WIRING UPGRADE,NETWORK WIRING UPGRADE,EXT,39300,,2015,2015,5,,1,Each,"$19,616.21 ",0,"$19,616.21 ",2015,LFT Mezzanine Maint Bldg,,,,,,,,,FG00075602,,,"2001 Cost-$19,616.21 - LFT Mezzanine Maint Bldg",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,BUS KIOSK SIGNAGE,BUS KIOSK SIGNAGE,EXT,41901,,2015,2015,10,,1,Each,"$19,590.12 ",0,"$19,590.12 ",2015,Bus Stop Shelter,,,,,,,,,BG00078305,,,"2001 Cost-$19,590.12 - Bus Stop Shelter",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
MB,MB,2011 CHEVROLET,2011 CHEVROLET,EXT,53001,,2015,2015,7,,1,Vehicles,"$19,501.43 ",0,"$19,501.43 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,A0003606,,,D1 Non-Revenue Vehicle,,,,,,,,,3,,,FALSE,,,CMD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,,
FB,FB,2011 CHEVROLET,2011 CHEVROLET,EXT,53002,,2015,2015,7,,1,Vehicles,"$19,501.43 ",0,"$19,501.43 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,A0003607,,,D1 Non-Revenue Vehicle,,,,,,,,,3,,,FALSE,,,CMD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,,
MB,MB,2011 CHEVROLET,2011 CHEVROLET,EXT,53001,,2015,2015,7,,1,Vehicles,"$19,501.43 ",0,"$19,501.43 ",2015,D1 Non-Revenue Vehicles,,,,,,,,,A0003608,,,D1 Non-Revenue Vehicle,,,,,,,,,3,,,FALSE,,,CMD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,,
SY,SY,2011 CHEVROLET,2011 CHEVROLET,EXT,53001,,2015,2015,7,,1,Vehicles,"$19,501.43 ",0,"$19,501.43 ",2015,Adm Bldg Non-Rev Vehicles,,,,,,,,,A0003609,,,Adm Bldg Non-Rev Vehicles,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,,
SY,SY,2011 CHEVROLET,2011 CHEVROLET,EXT,53001,,2015,2015,7,,1,Vehicles,"$19,501.43 ",0,"$19,501.43 ",2015,Adm Bldg Non-Rev Vehicles,,,,,,,,,A0003610,,,Adm Bldg Non-Rev Vehicles,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Automobile (AO),,,,,,,
MB,MB,ENGINE LATHE,ENGINE LATHE,EXT,23300,,2015,2015,15,,1,Each,"$19,424.68 ",0,"$19,424.68 ",2015,D1 HD Maint Bldg Unit Room,,,,,,,,,B0009307,,,D1 HD Maint Bldg Unit Room,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,AIR COMPRESSOR,AIR COMPRESSOR,EXT,23416,,2015,2015,10,,1,Each,"$19,403.92 ",0,"$19,403.92 ",2015,LFT Shop Area,,,,,,,,,F0001442,,,LFT Shop Area,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,NOVATO BUS YARD RESURFAC,NOVATO BUS YARD RESURFACE,EXT,21210,,2015,2015,10,,1,Each,"$19,401.36 ",0,"$19,401.36 ",2015,D2 Service Building,,,,,,,,,BG007013,,,1984 D2 Service Building,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
